# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8435291649470598,2.755945369237385,179.96917683293807,0,1.0,-0.8963017249152865,180.0,0.0,0.0
 0.050013609694678766,1.8422784845506919,2.755946042060669,179.96917683293807,0.050013609694678766,1.0,-0.8963017249152865,180.0,-3.1262780031454045,0.0
 0.07032158229716023,1.8410566043149754,2.7559480533345497,179.90568846490245,0.07032158229716022,0.9999999999999993,-0.9539527952965093,180.0,-4.312856583973541,0.0
 0.08562564400543593,1.8398632959989207,2.7559513922650707,179.83968424160236,0.08562564400543592,1.0,-1.0163743341401132,180.0,-5.420318005979972,0.0
 0.0982939407744,1.8386983313615386,2.755956048058276,179.77101804452045,0.09829394077439998,1.0,-1.0840554837048666,180.0,-6.525127822827806,0.0
 0.10924938653067204,1.837561482161839,2.755962009920208,179.69953236060474,0.10924938653067202,1.0,-1.1575458113624708,180.0,-7.663101897500424,0.0
 0.11896806274845004,1.8364525201588329,2.7559692670569116,179.62505715443908,0.11896806274845002,1.0,-1.2374640980136082,180.0,-8.857595381836957,0.0
 0.127734386604023,1.8353712171115302,2.7559778086744298,179.54740860474027,0.12773438660402298,0.9999999999999984,-1.3245086148291292,180.0,-10.127214499266488,3.5525731742891335e-12
 0.1357347030045687,1.8343173447789414,2.755987623978806,179.46638768448994,0.13573470300456866,1.0,-1.4194691797941212,180.00000000000003,-11.488851316182778,-3.859309577238548e-12
 0.14309915741320947,1.8332906749200772,2.755998702176085,179.38177856276425,0.14309915741320947,1.0000000000000038,-1.523241318077645,180.0,-12.95919273910767,0.0
 0.14992302085183445,1.8322909792939484,2.756011032472308,179.29334680123776,0.14992302085183445,1.0,-1.6368429877082384,180.0,-14.555635108986888,0.0
 0.15627859978302586,1.8313180296595646,2.756024604073521,179.20083731340898,0.15627859978302586,1.0,-1.7614343387224016,180.0,-16.29695043578895,0.0
 0.1622223659271135,1.8303715977759367,2.756039406185766,179.10397205115686,0.1622223659271135,1.0,-1.898341227368443,180.0,-18.203857900054967,0.0
 0.16779946278539115,1.8294514554020753,2.756055428015087,179.00244737245393,0.16779946278539115,1.0,-2.0490832002268426,180.0,-20.299579287744773,5.416528494628874e-12
 0.17304668145295424,1.8285573742969907,2.756072658767528,178.8959310410716,0.17304668145295424,1.0,-2.2154070075929844,180.00000000000003,-22.61042843073651,-5.744293578753458e-12
 0.1779944977580832,1.827689126219693,2.756091087649132,178.78405879461607,0.1779944977580832,1.0,-2.3993268605446563,180.0,-24.75500217940295,0.0
 0.18274619950659568,1.8268464829291928,2.756110703865943,178.66643040747576,0.17677170218742697,-0.25733845164819985,-2.6031729589787407,180.0,-26.419321885766674,0.0
 0.187433119436244,1.8260292161845009,2.7561314966240045,178.54260516120155,0.17208478225777865,-1.0,-2.8296503300929166,180.0,-27.95719591556916,0.0
 0.19210127526503165,1.8252370977446277,2.75615345512936,178.41209661413174,0.167416626428991,-1.0,-3.081910395290183,180.0,-29.624442819672964,-6.113242321481365e-12
 0.19675047906487658,1.8244698993685833,2.7561765685880526,178.27436654200625,0.16276742262914606,-1.0,-3.3636384927726346,179.99999999999997,-31.43565088586997,6.1385312637009136e-12
 0.20138052951333982,1.8237273928153783,2.7562008262061264,178.12881789252435,0.15813737218068283,-1.0,-3.6791614360009457,180.0,-33.407502383023946,0.0
 0.20599121034027307,1.823009349844023,2.7562262171896252,177.97478656181124,0.15352669135374958,-1.0,-4.0335803672743635,180.0,-35.559142464382916,0.0
 0.21058228854935196,1.8223155422135282,2.7562527307445923,177.81153175770947,0.1489356131446707,-1.0,-4.432935795878494,180.0,-37.912625899230655,0.0
 0.21515351237596417,1.821645741682904,2.756280356077071,177.6382246588695,0.14436438931805848,-1.0,-4.884413770134969,180.0,-40.493460638990356,6.245024481495752e-12
 0.21970460893525207,1.820999720011161,2.756309082393105,177.45393500948168,0.13981329275877058,-1.0,-5.39660502584919,180.00000000000003,-43.331272898348594,-6.2731766626411315e-12
 0.224235281504967,1.8203772489573096,2.7563388988987385,177.25761519995032,0.13528262018905565,-1.0,-5.979832868178981,180.0,-46.46062599100428,-6.3020361182240194e-12
 0.22874520637642481,1.8197781002803604,2.756369794800014,177.04808126725,0.13077269531759783,-1.0,-6.646570769399179,179.99999999999997,-49.92203405977259,0.0
 0.23323402919308647,1.8192020457393234,2.7564017593029764,176.82399010170835,0.12628387250093617,-1.0,-7.411978129355183,179.99999999999997,-53.76322554350253,1.2724244671879616e-11
 0.23770136067928707,1.8186488570932096,2.7564347816136676,176.58381195143812,0.12181654101473557,-1.0,-8.294592949457057,180.00000000000003,-58.04072918574582,-6.393494251919207e-12
 0.2421467716408864,1.818118306101029,2.7564688509381328,176.3257970576966,0.11737113005313625,-0.9999999999999969,-9.317234484875453,180.0,-62.82187816325717,0.0
 0.24656978709398886,1.8176101645217926,2.756503956482415,176.0479349197876,0.1129481146000338,-1.0,-10.50818995546883,180.0,-68.18736398792127,0.0
 0.25096987934662807,1.8171242041145101,2.756540087452557,175.74790422777644,0.10854802234739461,-0.9999999999999969,-11.902788860029302,180.0,-74.23451623251624,0.0
 0.25534645981999105,1.8166601966381923,2.7565772330546032,175.4230108935837,0.10417144187403163,-1.0,-13.54551206476839,180.0,-81.08155193889772,0.0
